company_id,display_name,name_ja,name_ko,exchange,ticker,edinet_code,fiscal_year,fiscal_year_label,fiscal_year_start,fiscal_year_end,reporting_currency,reporting_unit,financial_data_status,collection_error,net_sales_m_jpy,gross_profit_m_jpy,operating_profit_m_jpy,profit_before_income_taxes_m_jpy,profit_attributable_to_owners_m_jpy,operating_margin,net_margin,revenue_yoy_calculated,operating_profit_yoy_calculated,net_profit_yoy_calculated,total_assets_m_jpy,current_assets_m_jpy,non_current_assets_m_jpy,total_net_assets_m_jpy,current_liabilities_m_jpy,non_current_liabilities_m_jpy,current_ratio_calculated,net_assets_to_assets_calculated,operating_cash_flow_m_jpy,investing_cash_flow_m_jpy,financing_cash_flow_m_jpy,free_cash_flow_m_jpy,digital_contents_net_sales_m_jpy,digital_contents_operating_profit_m_jpy,digital_contents_operating_margin,official_ir_data_url,official_filing_url,retrieved_at_utc,financial_collection_method,representative_release_titles,representative_release_titles_ja,release_dates,release_events,release_annotations_ko,release_source_urls,scope_note_ko,representative_release_count
capcom,Capcom,株式会社カプコン,캡콤,TSE Prime,9697,E02417,2022,FY2022,2022-04-01,2023-03-31,JPY,JPY millions,collected_official_ir,,125930.0,73819.0,50812.0,51143.0,36737.0,0.40349400460573337,0.29172556182005877,,,,217365.0,171402.0,45963.0,161129.0,46043.0,10193.0,3.7226505657754707,0.7412830952545258,21789.0,-7679.0,-22485.0,14110.0,98158.0,53504.0,0.5450803806108518,https://asia.tools.euroland.com/tools/ia/?companycode=jp-cpk&lang=en-GB&t=0&t0=0&v=ad_r2021,https://www.capcom.co.jp/ir/data/pdf/yuuka/2023/full/yuuka_2023_full_01.pdf,2026-07-27T12:14:34.869971Z,official_ir_euroland,Monster Hunter Rise: Sunbreak,モンスターハンターライズ：サンブレイク,2022-06-30,expansion_launch,FY2022의 대표 대형 확장팩. 출시 초기 200만 장을 판매하며 신작과 본편·카탈로그 판매의 동반 상승을 이끌었다.,https://www.capcom.co.jp/ir/english/news/html/e220705.html,디지털 콘텐츠 외 아케이드 운영·오락기기·기타 사업을 포함한 연결 실적,1
capcom,Capcom,株式会社カプコン,캡콤,TSE Prime,9697,E02417,2023,FY2023,2023-04-01,2024-03-31,JPY,JPY millions,collected_official_ir,,152410.0,84654.0,57081.0,59282.0,43374.0,0.37452266911619975,0.28458762548389216,0.21027554990867947,0.1233763677871369,0.18066254729564202,243476.0,197826.0,45650.0,195081.0,33213.0,15181.0,5.95628217866498,0.8012329757347747,36921.0,-5962.0,-15969.0,30959.0,119841.0,59831.0,0.4992531771263591,https://asia.tools.euroland.com/tools/ia/?companycode=jp-cpk&lang=en-GB&t=0&t0=0&v=ad_r2021,https://www.capcom.co.jp/ir/data/pdf/yuuka/2024/yuuka_2024_full_01.pdf,2026-07-27T12:14:34.869971Z,official_ir_euroland,Street Fighter 6,ストリートファイター6,2023-06-02,commercial_launch,7년 만의 시리즈 신작. 신규 이용자용 모드와 e스포츠 운영을 결합해 장기 판매형 격투 IP를 확장한 FY2023 대표작.,https://www.capcom.co.jp/ir/english/news/pdf/e230221.pdf,디지털 콘텐츠 외 아케이드 운영·오락기기·기타 사업을 포함한 연결 실적,1
capcom,Capcom,株式会社カプコン,캡콤,TSE Prime,9697,E02417,2024,FY2024,2024-04-01,2025-03-31,JPY,JPY millions,collected_official_ir,,169604.0,98757.0,65777.0,65651.0,48453.0,0.38782693804391405,0.285683120681116,0.1128141198084116,0.15234491336872158,0.11709780052566043,312982.0,262082.0,50899.0,226303.0,69478.0,17200.0,3.7721580932093612,0.723054360953665,67618.0,-7273.0,-18735.0,60345.0,125128.0,65172.0,0.52084265711911,https://asia.tools.euroland.com/tools/ia/?companycode=jp-cpk&lang=en-GB&t=0&t0=0&v=ad_r2021,https://www.capcom.co.jp/ir/data/pdf/yuuka/2025/yuuka_2025_full_01.pdf,2026-07-27T12:14:34.869971Z,official_ir_euroland,Monster Hunter Wilds,モンスターハンターワイルズ,2025-02-28,commercial_launch,"FY2024 말 출시 후 한 달 만에 1,000만 장을 넘긴 대형 신작. 신작 매출과 몬스터헌터 카탈로그 재판매 효과를 함께 본다.",https://www.capcom.co.jp/ir/english/news/pdf/e240925.pdf,디지털 콘텐츠 외 아케이드 운영·오락기기·기타 사업을 포함한 연결 실적,1
capcom,Capcom,株式会社カプコン,캡콤,TSE Prime,9697,E02417,2025,FY2025,2025-04-01,2026-03-31,JPY,JPY millions,collected_official_ir,,195365.0,110217.0,75295.0,73934.0,54587.0,0.3854068026514473,0.27941033450208586,0.15188910638900022,0.14470103531629608,0.12659690834416848,339307.0,257940.0,81367.0,267716.0,56257.0,15334.0,4.585029418561246,0.7890081843286463,31380.0,-55862.0,-26069.0,-24482.0,144277.0,70618.0,0.4894612446890357,https://asia.tools.euroland.com/tools/ia/?companycode=jp-cpk&lang=en-GB&t=0&t0=0&v=ad_r2021,https://www.capcom.co.jp/ir/data/pdf/yuuka/2026/yuuka_2026_full_01.pdf,2026-07-27T12:14:34.869971Z,official_ir_euroland,Resident Evil Requiem,バイオハザード レクイエム,2026-02-27,commercial_launch,FY2025 4분기 출시 후 시리즈 최단기간 600만 장을 달성한 대표작. 신작과 기존 Resident Evil 카탈로그의 동반 성장을 해석한다.,https://www.capcom.co.jp/ir/english/news/pdf/e260316.pdf,디지털 콘텐츠 외 아케이드 운영·오락기기·기타 사업을 포함한 연결 실적,1
